field_id,field_name,field_type,field_label,required,field_context,page_number,table_name
table_0_row_25,3_3_the_total_of_the_periodic_payments_that_remain,currency,3. 3. The total of the periodic payments that remain unpaid today is $ The total of the periodic pay,False,"Table 1, Row 26",0,Table 1
table_0_row_28,is_the_detailed_interest_calculations_are_attached,currency,is $ .  The detailed interest calculations are attached to this statement. .  The detailed interest ,False,"Table 1, Row 29",0,Table 1
table_1_row_9,b_b_if_your_order_or_domestic_contract_does_not_re,currency,"(b) (b) if your order or domestic contract does not require the payor to make periodic payments. 

I",False,"Table 2, Row 10",0,Table 2
table_1_row_10,if_your_order_or_domestic_contract_does_not_requir,currency,"if your order or domestic contract does not require the payor to make periodic payments. 

If you ar",False,"Table 2, Row 11",0,Table 2
table_1_row_11,if_your_order_or_domestic_contract_does_not_requir,currency,"if your order or domestic contract does not require the payor to make periodic payments. 

If you ar",False,"Table 2, Row 12",0,Table 2
table_1_row_12,if_your_order_or_domestic_contract_does_not_requir,currency,"if your order or domestic contract does not require the payor to make periodic payments. 

If you ar",False,"Table 2, Row 13",0,Table 2
table_1_row_13,if_your_order_or_domestic_contract_does_not_requir,currency,"if your order or domestic contract does not require the payor to make periodic payments. 

If you ar",False,"Table 2, Row 14",0,Table 2
table_1_row_14,if_your_order_or_domestic_contract_does_not_requir,currency,"if your order or domestic contract does not require the payor to make periodic payments. 

If you ar",False,"Table 2, Row 15",0,Table 2
table_1_row_15,if_your_order_or_domestic_contract_does_not_requir,currency,"if your order or domestic contract does not require the payor to make periodic payments. 

If you ar",False,"Table 2, Row 16",0,Table 2
table_1_row_16,if_your_order_or_domestic_contract_does_not_requir,currency,"if your order or domestic contract does not require the payor to make periodic payments. 

If you ar",False,"Table 2, Row 17",0,Table 2
table_1_row_17,if_your_order_or_domestic_contract_does_not_requir,currency,"if your order or domestic contract does not require the payor to make periodic payments. 

If you ar",False,"Table 2, Row 18",0,Table 2
table_1_row_31,if_there_have_been_partial_payments_on_the_lump_su,currency,"If there have been partial payments on the lump sum, you MUST attach one or more separate sheets as ",False,"Table 2, Row 32",0,Table 2
table_1_row_32,if_there_have_been_partial_payments_on_the_lump_su,currency,"If there have been partial payments on the lump sum, you MUST attach one or more separate sheets as ",False,"Table 2, Row 33",0,Table 2
table_1_row_33,if_there_have_been_partial_payments_on_the_lump_su,currency,"If there have been partial payments on the lump sum, you MUST attach one or more separate sheets as ",False,"Table 2, Row 34",0,Table 2
table_1_row_34,if_there_have_been_partial_payments_on_the_lump_su,currency,"If there have been partial payments on the lump sum, you MUST attach one or more separate sheets as ",False,"Table 2, Row 35",0,Table 2
table_2_row_6,that_remains_unpaid_today_is_that_remains_unpaid_t,currency,that remains unpaid today is $ that remains unpaid today is $ that remains unpaid today is $ that re,False,"Table 3, Row 7",0,Table 3
table_2_row_8,6_6_6_the_total_amount_of_unpaid_interest_on_the_l,currency,6. 6. 6. The total amount of unpaid interest on the lump sum up to today is $ The total amount of un,False,"Table 3, Row 9",0,Table 3
table_2_row_11,7_7_7_the_amount_of_court_costs_remaining_unpaid_t,currency,7. 7. 7. The amount of court costs remaining unpaid today is $ The amount of court costs remaining u,False,"Table 3, Row 12",0,Table 3
table_2_row_14,8_8_8_the_amount_of_unpaid_interest_on_court_costs,currency,8. 8. 8. The amount of unpaid interest on court costs up to today is $ The amount of unpaid interest,False,"Table 3, Row 15",0,Table 3
table_2_row_18,9_9_9_of_the_money_in_paragraphs_5_and_6_i_attribu,currency,"9. 9. 9. Of the money in paragraphs 5 and 6, I attribute $ Of the money in paragraphs 5 and 6, I att",False,"Table 3, Row 19",0,Table 3
table_2_row_20,10_10_10_of_the_money_in_paragraphs_3_and_4_i_attr,currency,"10. 10. 10. Of the money in paragraphs 3 and 4, I attribute $ Of the money in paragraphs 3 and 4, I ",False,"Table 3, Row 21",0,Table 3
table_2_row_22,11_11_11_the_total_of_the_sums_in_paragraphs_9_and,currency,11. 11. 11. The total of the sums in paragraphs 9 and 10 is $ The total of the sums in paragraphs 9 ,False,"Table 3, Row 23",0,Table 3
table_2_row_26,a_unpaid_amounts_of_periodic_payments_paragraph_3_,currency,(a) unpaid amounts of periodic payments (paragraph 3) unpaid amounts of periodic payments (paragraph,False,"Table 3, Row 27",0,Table 3
table_2_row_27,b_interest_on_unpaid_amounts_of_periodic_payments_,currency,(b) interest on unpaid amounts of periodic payments (paragraph 4) interest on unpaid amounts of peri,False,"Table 3, Row 28",0,Table 3
table_2_row_28,c_unpaid_lump_sum_debt_paragraph_5_unpaid_lump_sum,currency,(c) unpaid lump-sum debt (paragraph 5) unpaid lump-sum debt (paragraph 5) unpaid lump-sum debt (para,False,"Table 3, Row 29",0,Table 3
table_2_row_29,d_interest_on_unpaid_lump_sum_debt_paragraph_6_int,currency,(d) interest on unpaid lump-sum debt (paragraph 6) interest on unpaid lump-sum debt (paragraph 6) in,False,"Table 3, Row 30",0,Table 3
table_2_row_30,e_unpaid_court_costs_paragraph_7_unpaid_court_cost,currency,(e) unpaid court costs (paragraph 7) unpaid court costs (paragraph 7) unpaid court costs (paragraph ,False,"Table 3, Row 31",0,Table 3
table_2_row_31,f_interest_on_unpaid_court_costs_paragraph_8_inter,currency,(f) interest on unpaid court costs (paragraph 8) interest on unpaid court costs (paragraph 8) intere,False,"Table 3, Row 32",0,Table 3
table_2_row_32,total_total_total_total_total_total_total_total_to,currency,TOTAL TOTAL TOTAL TOTAL TOTAL TOTAL TOTAL TOTAL TOTAL $,False,"Table 3, Row 33",0,Table 3
table_4_row_4,field,currency,$ $ $ $ $ $ $ $,False,"Table 5, Row 5",0,Table 5
table_4_row_5,field,currency,$ $ $ $ $ $ $ $,False,"Table 5, Row 6",0,Table 5
table_4_row_6,field,currency,$ $ $ $ $ $ $ $,False,"Table 5, Row 7",0,Table 5
table_4_row_7,field,currency,$ $ $ $ $ $ $ $,False,"Table 5, Row 8",0,Table 5
table_4_row_8,field,currency,$ $ $ $ $ $ $ $,False,"Table 5, Row 9",0,Table 5
table_4_row_9,field,currency,$ $ $ $ $ $ $ $,False,"Table 5, Row 10",0,Table 5
table_4_row_10,field,currency,$ $ $ $ $ $ $ $,False,"Table 5, Row 11",0,Table 5
table_4_row_11,field,currency,$ $ $ $ $ $ $ $,False,"Table 5, Row 12",0,Table 5
table_4_row_12,field,currency,$ $ $ $ $ $ $ $,False,"Table 5, Row 13",0,Table 5
table_4_row_13,field,currency,$ $ $ $ $ $ $ $,False,"Table 5, Row 14",0,Table 5
table_4_row_14,field,currency,$ $ $ $ $ $ $ $,False,"Table 5, Row 15",0,Table 5
table_4_row_15,field,currency,$ $ $ $ $ $ $ $,False,"Table 5, Row 16",0,Table 5
table_4_row_16,field,currency,$ $ $ $ $ $ $ $,False,"Table 5, Row 17",0,Table 5
table_4_row_17,field,currency,$ $ $ $ $ $ $ $,False,"Table 5, Row 18",0,Table 5
table_4_row_18,field,currency,$ $ $ $ $ $ $ $,False,"Table 5, Row 19",0,Table 5
table_4_row_19,field,currency,$ $ $ $ $ $ $ $,False,"Table 5, Row 20",0,Table 5
table_4_row_20,field,currency,$ $ $ $ $ $ $ $,False,"Table 5, Row 21",0,Table 5
table_4_row_21,field,currency,$ $ $ $ $ $ $ $,False,"Table 5, Row 22",0,Table 5
table_4_row_22,field,currency,$ $ $ $ $ $ $ $,False,"Table 5, Row 23",0,Table 5
table_4_row_23,field,currency,$ $ $ $ $ $ $ $,False,"Table 5, Row 24",0,Table 5
table_4_row_24,field,currency,$ $ $ $ $ $ $ $,False,"Table 5, Row 25",0,Table 5
table_4_row_25,field,currency,$ $ $ $ $ $ $ $,False,"Table 5, Row 26",0,Table 5
table_4_row_26,field,currency,$ $ $ $ $ $ $ $,False,"Table 5, Row 27",0,Table 5
table_4_row_27,field,currency,$ $ $ $ $ $ $ $,False,"Table 5, Row 28",0,Table 5
table_4_row_28,field,currency,$ $ $ $ $ $ $ $,False,"Table 5, Row 29",0,Table 5
table_4_row_29,field,currency,$ $ $ $ $ $ $ $,False,"Table 5, Row 30",0,Table 5
table_4_row_30,field,currency,$ $ $ $ $ $ $ $,False,"Table 5, Row 31",0,Table 5
table_4_row_31,field,currency,$ $ $ $ $ $ $ $,False,"Table 5, Row 32",0,Table 5
table_4_row_32,field,currency,$ $ $ $ $ $ $ $,False,"Table 5, Row 33",0,Table 5
table_4_row_33,field,currency,$ $ $ $ $ $ $ $,False,"Table 5, Row 34",0,Table 5
table_4_row_34,field,currency,$ $ $ $ $ $ $ $,False,"Table 5, Row 35",0,Table 5
table_4_row_35,field,currency,$ $ $ $ $ $ $ $,False,"Table 5, Row 36",0,Table 5
table_4_row_36,field,currency,$ $ $ $ $ $ $ $,False,"Table 5, Row 37",0,Table 5
table_4_row_37,field,currency,$ $ $ $ $ $ $ $,False,"Table 5, Row 38",0,Table 5
table_4_row_38,field,currency,$ $ $ $ $ $ $ $,False,"Table 5, Row 39",0,Table 5
